channel_id,channel_number,node,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1,1,-1,-1,-1,-1,-1,-1,0.999981772,0.999941014,0.99996849,0.999956134,0.999974158,0.999911125
1,2,2,-1,-1,-1,-1,-1,-1,0.999902735,0.999166054,0.999954506,0.99991763,0.999880268,0.999574348
2,3,3,-1,-1,-1,-1,-1,-1,0.999437303,0.996062287,0.999901194,0.999891433,0.999677855,0.999003276
3,4,4,-1,-1,-1,-1,-1,-1,0.996489033,0.994535571,0.999106028,0.999503833,0.997934704,0.995753664
4,5,5,-1,-1,-1,-1,-1,-1,0.995025778,0.984553443,0.998993657,0.999565053,0.996992207,0.995629441
5,6,6,-1,-1,-1,-1,-1,-1,0.990514929,0.974954047,0.99737497,0.998883029,0.993077055,0.988627118
6,7,7,-1,-1,-1,-1,-1,-1,0.989173859,0.96750332,0.997254905,0.998667623,0.992060677,0.986472255
7,8,8,-1,-1,-1,-1,-1,-1,0.398842153,0.232483796,0.71146711,0.787666432,0.507755282,0.30730386
8,9,9,-1,-1,-1,-1,-1,-1,0.393399456,0.250384778,0.708570205,0.786479129,0.518512777,0.320475709
9,10,10,-1,-1,-1,-1,-1,-1,0.378480272,0.245697252,0.717095067,0.797246882,0.533129889,0.332376302
10,11,11,-1,-1,-1,-1,-1,-1,0.368085775,0.245767599,0.722241056,0.803363025,0.546233752,0.342683511
11,12,12,-1,-1,-1,-1,-1,-1,0.360000198,0.257389851,0.732839146,0.814096226,0.567000512,0.356957491
12,13,13,-1,-1,-1,-1,-1,-1,0.358782202,0.267461013,0.736838303,0.818490525,0.578423186,0.364528127
13,14,14,-1,-1,-1,-1,-1,-1,0.362908335,0.293359751,0.740284085,0.820818661,0.592767015,0.375583143
14,15,15,-1,-1,-1,-1,-1,-1,0.369122212,0.314011109,0.743600082,0.823306893,0.602645321,0.383342982
15,16,16,-1,-1,-1,-1,-1,-1,0.388957372,0.387489375,0.754913281,0.830746445,0.636053554,0.413275882
16,17,17,-1,-1,-1,-1,-1,-1,0.999999649,1,0.999994238,0.999985432,0.999999955,0.999997703
17,18,18,-1,-1,-1,-1,-1,-1,0.435234246,0.475544937,0.769177582,0.835358229,0.689490784,0.471714602
18,19,19,-1,-1,-1,-1,-1,-1,0.451304004,0.49880745,0.773933482,0.836890109,0.701830361,0.492001803
19,20,20,-1,-1,-1,-1,-1,-1,0.470367269,0.522868629,0.77928467,0.838525385,0.710901624,0.516007275
20,21,21,-1,-1,-1,-1,-1,-1,0.494194816,0.551837878,0.785704911,0.839041339,0.735115366,0.553268128
21,22,22,-1,-1,-1,-1,-1,-1,0.520812722,0.584484703,0.794104479,0.842224485,0.740822503,0.575684859
22,23,23,-1,-1,-1,-1,-1,-1,0.545328049,0.612947596,0.801935037,0.845332002,0.747180142,0.591361547
23,24,24,-1,-1,-1,-1,-1,-1,0.662685866,0.712098257,0.85134503,0.885046035,0.804900819,0.66486507
24,25,25,-1,-1,-1,-1,-1,-1,0.704547097,0.752091649,0.863287411,0.890247581,0.822204767,0.682359126
25,26,26,-1,-1,-1,-1,-1,-1,0.382140231,0.428818219,0.520697137,0.520775193,0.414973461,0.279389762
26,27,28,-1,-1,-1,-1,-1,-1,0.431374409,0.563022435,0.63006235,0.636097989,0.526508439,0.373976639
27,28,27,-1,-1,-1,-1,-1,-1,0.416639287,0.4715895,0.549228779,0.551840727,0.448351665,0.314598407
28,29,29,-1,-1,-1,-1,-1,-1,0.489209727,0.617442229,0.662285562,0.673264767,0.576106475,0.426128738
29,30,26,-1,-1,-1,-1,-1,-1,0.240055816,0.412427063,0.579671269,0.604044195,0.564720832,0.41104707
30,31,29,-1,-1,-1,-1,-1,-1,0.297095761,0.453257489,0.601273434,0.626168409,0.562507985,0.397600696
31,32,30,-1,-1,-1,-1,-1,-1,0.715466273,0.729793614,0.780914505,0.744298705,0.66801588,0.672498945
32,33,31,-1,-1,-1,-1,-1,-1,2.38E-09,2.55E-10,5.26E-06,0.001031384,0.006680619,0.001458248
33,34,30,-1,-1,-1,-1,-1,-1,0.145217346,0.30856885,0.468266461,0.523413538,0.452603541,0.316524098
34,35,31,-1,-1,-1,-1,-1,-1,0.112694241,0.23927936,0.302170154,0.30101892,0.251460984,0.134058631
35,36,32,-1,-1,-1,-1,-1,-1,0.183579011,0.361859361,0.489243982,0.535922028,0.485024447,0.357112637
36,37,33,-1,-1,-1,-1,-1,-1,0.291694723,0.464733091,0.557040252,0.576502371,0.53170413,0.400325123
37,38,34,-1,-1,-1,-1,-1,-1,0.18811095,0.36264237,0.470208337,0.485396793,0.463854748,0.336420056
38,39,35,-1,-1,-1,-1,-1,-1,0.169925106,0.316173892,0.395826012,0.389382635,0.374854495,0.246928299
39,40,36,-1,-1,-1,-1,-1,-1,0.18873158,0.342743863,0.418254775,0.40654659,0.391499564,0.261038464
40,41,35,-1,-1,-1,-1,-1,-1,0.369865577,0.51802267,0.51894393,0.500226348,0.475851759,0.370843184
41,42,37,-1,-1,-1,-1,-1,-1,0.260721154,0.426058683,0.471409153,0.456104958,0.434778695,0.309967213
42,43,38,-1,-1,-1,-1,-1,-1,0.158739832,0.330068396,0.389058571,0.385046076,0.39230325,0.276685611
43,44,39,-1,-1,-1,-1,-1,-1,0.203122789,0.380511055,0.430186949,0.422056674,0.428189089,0.30774343
44,45,40,-1,-1,-1,-1,-1,-1,0.341921072,0.491667086,0.553418041,0.518920481,0.520926517,0.39659085
45,46,41,-1,-1,-1,-1,-1,-1,0.371710207,0.521522349,0.570105403,0.532440662,0.537807901,0.413122074
46,47,42,-1,-1,-1,-1,-1,-1,0.378927467,0.534919578,0.575027537,0.538380831,0.547287156,0.422246031
47,48,43,-1,-1,-1,-1,-1,-1,0.431311543,0.570870863,0.619099504,0.5715735,0.582673908,0.458944297
48,49,469,-1,-1,-1,-1,-1,-1,0.487674003,0.622439172,0.621685079,0.563941886,0.570328913,0.439345885
49,50,45,-1,-1,-1,-1,-1,-1,0.554988308,0.661687047,0.63886385,0.593068674,0.608399804,0.483616703
50,51,461,-1,-1,-1,-1,-1,-1,0.580620219,0.677048907,0.659587281,0.615386543,0.631635754,0.503332065
51,52,46,-1,-1,-1,-1,-1,-1,0.622081574,0.696952645,0.668386333,0.627649921,0.650176013,0.526217717
52,53,47,-1,-1,-1,-1,-1,-1,0.693776335,0.717569297,0.687300019,0.623792206,0.650488353,0.549276202
53,54,8,-1,-1,-1,-1,-1,-1,0.346232918,0.006664274,0.676597296,0.744601462,0.407636496,0.229496728
54,55,48,-1,-1,-1,-1,-1,-1,0.342887576,0.002872445,0.673675205,0.738499987,0.398627104,0.225243661
55,56,49,-1,-1,-1,-1,-1,-1,0.350058616,0.003962452,0.681180476,0.749365509,0.396572371,0.247477275
56,57,50,-1,-1,-1,-1,-1,-1,0.354208892,0.004004301,0.685866939,0.756647395,0.392983266,0.259120962
57,58,51,-1,-1,-1,-1,-1,-1,0.357294368,0.004232047,0.690157829,0.763277742,0.39054472,0.269106443
58,59,52,-1,-1,-1,-1,-1,-1,0.291285516,0.000922507,0.638619911,0.723974064,0.373304394,0.201765233
59,60,53,-1,-1,-1,-1,-1,-1,0.290257228,0.000436186,0.637970903,0.723075739,0.370383329,0.206206038
60,61,54,-1,-1,-1,-1,-1,-1,0.298122938,0.000970869,0.646427065,0.734148834,0.374891889,0.239438203
61,62,55,-1,-1,-1,-1,-1,-1,0.297753505,0.000767049,0.646543073,0.734611516,0.374718296,0.253992759
