channel_id,channel_number,node,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1,1,0.999823225,0.999829184,0.999870964,0.999949152,0.999959418,0.999864329,0.999967296,-1,0.999995592,0.999984541,0.999976262,0.999808631
1,2,2,0.999737772,0.999746158,0.999811528,0.999910746,0.999934646,0.999795705,0.999918647,-1,0.999937196,0.999914991,0.999812129,0.999721601
2,3,3,0.999686878,0.999715696,0.999778973,0.999845454,0.999866374,0.99976282,0.999717839,-1,0.999591672,0.999594269,0.999293392,0.999667039
3,4,4,0.999423662,0.999512696,0.999248619,0.999388218,0.998956293,0.999512474,0.998745313,-1,0.997750115,0.997906714,0.997637327,0.999133329
4,5,5,0.994525232,0.994199347,0.999213992,0.999234993,0.999000215,0.996240694,0.998749666,-1,0.996511162,0.997112802,0.997392898,0.995409533
5,6,6,0.993951853,0.993635283,0.998372087,0.998270748,0.997586801,0.996042824,0.997397117,-1,0.993258074,0.993769905,0.994721533,0.994580467
6,7,7,0.994172715,0.993878854,0.998441745,0.99813214,0.997219374,0.996204625,0.997252073,-1,0.992769533,0.993173932,0.994115321,0.994833478
7,8,8,0.956291229,0.956611192,0.950486537,0.919983967,0.8656809,0.973597538,0.875312868,-1,0.73642417,0.782875329,0.706841707,0.954245336
8,9,9,0.953686771,0.954259432,0.948432329,0.918324015,0.864804319,0.972784673,0.874450652,-1,0.750319372,0.791740728,0.711247224,0.951952074
9,10,10,0.959246114,0.959552956,0.952957001,0.920879099,0.871569033,0.975231175,0.869387408,-1,0.760818258,0.794869572,0.714367128,0.957585511
10,11,11,0.962280506,0.962399567,0.955502789,0.922268084,0.875990516,0.976619585,0.866047944,-1,0.767535698,0.798344592,0.717405316,0.960711471
11,12,12,0.968312732,0.967992077,0.960595557,0.925156856,0.883649422,0.979242161,0.864005563,-1,0.773907192,0.802624991,0.723822076,0.966853559
12,13,13,0.970643365,0.970098829,0.962574131,0.926128927,0.887123039,0.98034142,0.863783294,-1,0.776559828,0.805923792,0.727340137,0.969337508
13,14,14,0.971798392,0.971149262,0.963614553,0.926716486,0.888867472,0.980894306,0.866064684,-1,0.780778039,0.810081006,0.733434376,0.970573329
14,15,15,0.97304917,0.97226287,0.964714827,0.927410766,0.890658792,0.981466908,0.868461856,-1,0.788356811,0.813593445,0.738261456,0.971917782
15,16,16,0.976075649,0.975322326,0.968376782,0.930038674,0.895125366,0.983778461,0.877635359,-1,0.813052788,0.825437842,0.756980844,0.974639785
16,17,17,0.999905772,0.999920684,0.999954896,0.999987281,0.999993567,0.999946401,0.99999815,-1,1,1,1,0.999909667
17,18,18,0.976927755,0.976221161,0.969313342,0.931643911,0.897501083,0.984070535,0.898856049,-1,0.851142782,0.850959906,0.790720845,0.975469408
18,19,19,0.976987382,0.976299535,0.969407401,0.932024456,0.898125967,0.984076473,0.906341985,-1,0.85748986,0.859779136,0.800044153,0.975536133
