Date,Month,OMR,Sac.cfs,SJR.cfs
9/30/1922,9,-6500,18720,2454
9/30/1925,9,-6500,9816,1832
7/31/1927,7,-6500,23523,1754
12/31/1933,12,-6500,15377,1791
9/30/1937,9,-6500,9711,2412
10/31/1938,10,-6500,13859,3308
9/30/1945,9,-6500,9790,2428
10/31/1945,10,-6500,9277,3194
11/30/1946,11,-6500,10444,2251
11/30/1948,11,-6500,10637,1714
7/31/1949,7,-6500,15120,1226
9/30/1949,9,-6500,10292,1729
10/31/1952,10,-6500,14125,2623
7/31/1954,7,-6500,24880,1286
9/30/1955,9,-6500,10652,1734
9/30/1956,9,-6500,18666,2545
11/30/1964,11,-6500,13910,1567
9/30/1970,9,-6500,16865,1783
10/31/1972,10,-6500,10301,1725
7/31/1973,7,-6500,20665,1459
9/30/1973,9,-6500,17065,2422
9/30/1978,9,-6500,18043,3548
12/31/1978,12,-6500,11336,2234
9/30/1979,9,-6500,10302,1895
10/31/1979,10,-6500,10361,2643
10/31/1982,10,-6500,16257,8224
9/30/1983,9,-6500,21962,6756
7/31/1985,7,-6500,14907,1224
9/30/1985,9,-6500,10190,1896
12/31/1986,12,-6500,11039,1812
8/31/1993,8,-6500,15118,2022
9/30/1994,9,-6500,10367,1150
10/31/1995,10,-6500,14506,2903
12/31/1999,12,-6500,11744,1484
7/31/2000,7,-6500,23399,1528
9/30/2002,9,-6500,10329,1628
1/31/1922,1,-5000,17769,2490
6/30/1922,6,-5000,19451,10123
12/31/1922,12,-5000,33119,5900
1/31/1923,1,-5000,29605,9693
2/28/1923,2,-5000,19424,6830
11/30/1923,11,-5000,9264,2055
12/31/1923,12,-5000,9928,1799
1/31/1924,1,-5000,12225,1720
2/29/1924,2,-5000,17847,1894
1/31/1925,1,-5000,12777,1473
7/31/1925,7,-5000,12779,1446
11/30/1925,11,-5000,8733,1798
1/31/1926,1,-5000,17782,1593
9/30/1926,9,-5000,8604,1639
12/31/1926,12,-5000,22834,1794
6/30/1927,6,-5000,12062,2356
10/31/1927,10,-5000,12264,3651
1/31/1928,1,-5000,23365,2814
9/30/1928,9,-5000,12766,1854
1/31/1929,1,-5000,13247,1588
2/28/1929,2,-5000,19481,1747
12/31/1929,12,-5000,18477,1335
6/30/1930,6,-5000,14997,1127
9/30/1930,9,-5000,8629,1727
1/31/1931,1,-5000,13786,1478
