OMR,Sub.group,Count
-6500,A,1
-6500,D,1
-5000,A,23
-5000,AB,5
-5000,ABD,7
-5000,B,8
-5000,BD,15
-5000,C,5
-5000,D,6
-5000,E,4
-3500,A,8
-3500,AB,2
-3500,B,1
-3500,BD,1
-3500,C,3
-3500,D,3
-3500,E,10
-2000,A,6
-2000,BD,5
-2000,C,8
-2000,D,7
-2000,E,3
