channel_id,channel_number,node,lolo,lomed,lohi,medlo,medmed,medhi,hilo,himed,hihi
0,1,1,0.9989759613209213,0.9998450566032683,0.9999541969823428,0.9979557136632984,0.9952521714239497,-1,0.9992086042062939,0.9996851175211983,0.9999437200749495
1,2,2,0.9896202400198492,0.9977963547942627,0.9998013620220196,0.9875225212528412,0.9805290218591395,-1,0.9854978381700195,0.9965568360340681,0.9998271287410881
2,3,3,0.9783441464911437,0.9941326540894845,0.9992894634483332,0.9731491768414454,0.9568778961885857,-1,0.9636339645720922,0.9904619651076243,0.9994285715527909
3,4,4,0.9765688493380246,0.9901550366365177,0.9954758076977392,0.9695529502366498,0.9545852662385651,-1,0.9579105598147487,0.9888353280262252,0.995377930876694
4,5,5,0.9601866533962272,0.9812556701051183,0.9943463467222488,0.9480662548035232,0.9295911736448207,-1,0.9416813308190073,0.977004932288021,0.9942708965199555
5,6,6,0.9494574959571003,0.9824297855814836,0.9885627319930818,0.9416524649306571,0.9262907925717235,-1,0.9410248571700206,0.9649503201989227,0.9872290816605994
6,7,7,0.9436161638559658,0.9812211403356299,0.9865969613952988,0.935631918046479,0.922940596040252,-1,0.9381375007102615,0.9620851800757991,0.9838320861163015
7,8,8,0.9025429410289951,0.9533391552325642,0.9626210292501588,0.8848821778806535,0.8784362933510823,-1,0.9058151221893656,0.8965582068949146,0.9250271395690692
8,9,9,0.9134802359814889,0.9559792115451065,0.9697617862230784,0.8993617645568425,0.8917437183377677,-1,0.9183683784134788,0.9085897658001708,0.9376513531485967
9,10,10,0.9244645736491641,0.9605974083258921,0.9729435621958568,0.9122884598122313,0.9025985690348075,-1,0.9303424747963007,0.9201979432447963,0.9461846312007804
10,11,11,0.9333060944868388,0.9644715601065618,0.9747054401780623,0.9224573692351313,0.9127000536349508,-1,0.9378147177893106,0.9278563811565202,0.9522154723492486
11,12,12,0.9435821894825194,0.9692479188758626,0.978361444463588,0.9330952847132671,0.9201059465676248,-1,0.9451718057435353,0.9367127803747275,0.959188485399965
12,13,13,0.9494914250540558,0.9715720958509148,0.9801073691813936,0.9390625370768209,0.9252026822052406,-1,0.9492674402181502,0.9415085576471257,0.963113514381232
13,14,14,0.9540002995260709,0.9739280410510904,0.9815894185630983,0.9450114515712466,0.932170739999338,-1,0.9532679400641845,0.9459678350709817,0.9665523899074275
14,15,15,0.9568823195950886,0.9758069610950001,0.9826483363002385,0.9488334907863161,0.9370859871277587,-1,0.9555836436828533,0.9488891084511449,0.9679826542386896
