channel_id,channel_number,node,lolo,lomed,lohi,medlo,medmed,medhi,hilo,himed,hihi
0,1,1,0.9953661374732423,-1,-1,0.9985516634428757,0.9997124623280041,0.9988630180577219,0.9990836373292832,0.9993921532910968,0.9999169906889521
1,2,2,0.9668896295422088,-1,-1,0.9760384087146682,0.9926135749741958,0.9924245839001123,0.9653074323889275,0.9871585255232461,0.9992995376763466
2,3,3,0.9247265788511403,-1,-1,0.9324582425208289,0.9748882965919173,0.9799169119349558,0.8995898270395877,0.9601576999822751,0.9970152110655341
3,4,4,0.924047158969748,-1,-1,0.9184592743284977,0.9604565740195673,0.9638255317865403,0.8831526340485022,0.9439132456316052,0.9848987783882867
4,5,5,0.8647027055611541,-1,-1,0.8568240858477926,0.9263290297559511,0.9372296828658444,0.8443694744991662,0.9045808183759548,0.9773266545503343
5,6,6,0.8518496106358063,-1,-1,0.8361831981637238,0.9332233780482572,0.914930125219964,0.8388261033156791,0.9229617790807653,0.9548287767156516
6,7,7,0.8385893366597814,-1,-1,0.8248881997576502,0.9257196976185743,0.9067600648335267,0.836109873202091,0.915447643292802,0.9457688244194067
7,8,8,0.7339073073598699,-1,-1,0.7134504387244174,0.8174060469860385,0.8035142385094063,0.8101716149556788,0.8194830738645708,0.8389012739660304
8,9,9,0.771899885973002,-1,-1,0.7516138892414884,0.8289530369800949,0.8370064699585817,0.828971194705371,0.8360013224214957,0.866828034375881
9,10,10,0.804880413904822,-1,-1,0.7843714814994802,0.8481815247716189,0.8614508507397192,0.8434287623520434,0.8539599170789858,0.8866855844837646
10,11,11,0.8286924086192557,-1,-1,0.8100366028885007,0.8655861505312509,0.8739491891286717,0.8564616572094553,0.8649593997500706,0.8994274632519831
11,12,12,0.851244600989427,-1,-1,0.8373557790258981,0.883091114809872,0.8908513087434029,0.8731829922633705,0.8812542154429045,0.9134557374765637
12,13,13,0.8638591470586043,-1,-1,0.8506285687067904,0.8913072672233306,0.9018889384109989,0.8815987693484509,0.8910867711740111,0.921092110417828
13,14,14,0.87380125518236,-1,-1,0.8605473401344171,0.8975138340317407,0.9145001501494983,0.8880692890774623,0.8988482454300895,0.9285049430844868
14,15,15,0.8791456833095017,-1,-1,0.866496218405884,0.9036329322173623,0.9189920528273587,0.8929563480333839,0.9045397187673645,0.9342088851196333
15,16,16,0.8928686482790393,-1,-1,0.8792234067511954,0.916221864211706,0.9294504405005137,0.9044810172140763,0.9163062232328701,0.9461591312192933
16,17,17,0.9999999999997314,-1,-1,0.9999995577474234,0.9999994481043428,0.9999999262987744,0.9999976230775313,0.9999997819651011,0.9999957192568791
17,18,18,0.9224029606818602,-1,-1,0.9098125339720285,0.9396073493815733,0.9570138768034456,0.9301883055316738,0.937220430593665,0.9671655256868437
18,19,19,0.9302512954287336,-1,-1,0.9185972418097712,0.9453080185056127,0.9614850679650354,0.9369399872801856,0.9429773092998307,0.9701389552610897
19,20,20,0.938041433726038,-1,-1,0.9278282422642421,0.9506612869761618,0.9653700103497123,0.9434753062653588,0.9488011996853604,0.9723331683509217
20,21,21,0.946595988061724,-1,-1,0.9385125032610775,0.9564656613519329,0.9692734376826472,0.9501110431449432,0.957657063932904,0.9748216821283583
21,22,22,0.953890667201812,-1,-1,0.9461775385439961,0.9602987167068456,0.9722835788766722,0.9557090786389204,0.9621336473899216,0.9760995770369961
22,23,23,0.9595654480929331,-1,-1,0.9518883484149977,0.9629282023225472,0.9745512713171031,0.9600517745460609,0.9657808271669809,0.9766958321649555
23,24,24,0.9696081941169181,-1,-1,0.9658529249101101,0.9708620346327145,0.9764760572712958,0.9724661287691374,0.9763972040641475,0.9758234594173006
24,25,25,0.9726784598134792,-1,-1,0.9696608268218396,0.9734234216522629,0.9765929531018129,0.9757526491819098,0.97878857186251,0.9739713307204224
25,26,26,0.9381691676069679,-1,-1,0.9307296076233333,0.9381965514026452,0.9515424685239277,0.9524695241367351,0.9469500818364366,0.9454940945711028
26,27,28,0.9438301776260639,-1,-1,0.9368340701106295,0.9427373370984926,0.9563999952502578,0.9560217191863438,0.9506962857643825,0.9496762038659571
27,28,27,0.9476340268540939,-1,-1,0.9415614545676076,0.9478153902987558,0.9587673259097333,0.9595152844638547,0.955118900494016,0.9540217191499012
28,29,29,0.9530356291713185,-1,-1,0.9474065355664737,0.9525985124373855,0.9637209599845513,0.9633759167507461,0.9591287338753179,0.9585925553761613
29,30,26,0.9262675717565868,-1,-1,0.91510009356024,0.9226493224503843,0.9362548899861056,0.9392715281927374,0.9325973134079975,0.9351475051709762
30,31,29,0.9387480605899491,-1,-1,0.9307036013606511,0.9366516042026576,0.9513208662091802,0.9506339780588363,0.9455826788166548,0.9465495959647708
31,32,30,0.9782080848720046,-1,-1,0.9768448122135199,0.9788554759382458,0.9802127436784968,0.9823222591452349,0.9810027949294403,0.9780170831131382
32,33,31,0.789113583243949,-1,-1,0.7698346066470853,0.7639904351149147,0.8022218555763407,0.8510118601713939,0.8242404711601963,0.7591594208657999
33,34,30,0.9434916191349996,-1,-1,0.9357547951471492,0.9404101482886194,0.9523032488253775,0.9534386861140302,0.9487361322574579,0.9493833057551481
34,35,31,0.9233631743248016,-1,-1,0.9139425097561812,0.9165194819073422,0.9287619244804755,0.9375657594443252,0.9262436699705684,0.9152563976416859
35,36,32,0.944799074605537,-1,-1,0.9370131486099909,0.9392601989185441,0.94897082836614,0.953063294133822,0.9453074656750333,0.9380046461646632
36,37,33,0.9613415428066653,-1,-1,0.956189453305739,0.9578023175568945,0.9652538642658434,0.9675069320452231,0.9624157897909881,0.9582682917423765
37,38,34,0.9501152418991038,-1,-1,0.943404699301265,0.9443953039267109,0.951027727156496,0.9587032493434153,0.9515487695032548,0.944684930117387
38,39,35,0.9328656465006904,-1,-1,0.9239684798376159,0.9257736279449409,0.9355066487766974,0.9457235919938017,0.9358985198597304,0.9250231664157034
39,40,36,0.9378077490035261,-1,-1,0.9288662117371993,0.9307873333324203,0.9395822995901186,0.9490374156098811,0.9399138352088233,0.9298820298925816
40,41,35,0.9401996586535613,-1,-1,0.9323141761045781,0.9343122087800482,0.945350682796691,0.9530687612947916,0.9444444557730518,0.9345269532059269
41,42,37,0.9426225642840536,-1,-1,0.9346237184531013,0.9366264480662626,0.9455791699112179,0.9537248376309729,0.9453777301961966,0.9360566181299602
42,43,38,0.9334651628869566,-1,-1,0.9255448180219406,0.9254463818833566,0.9310994771278843,0.943971862064447,0.9345334123317133,0.9222493394586274
43,44,39,0.9411129276387185,-1,-1,0.9336430654413082,0.9343468087524812,0.9399718094698198,0.9507684392838698,0.942145386641072,0.9313848263198103
44,45,40,0.952107480899293,-1,-1,0.9456426182903475,0.9467621087214255,0.9518986693811202,0.9601806190367087,0.9531412982025304,0.9444810825013092
45,46,41,0.9570634494547472,-1,-1,0.950670157588756,0.9516775460934479,0.9560241234757824,0.9636442435910245,0.9571890376978148,0.9493051665044266
46,47,42,0.9608319131945678,-1,-1,0.9549134818822814,0.9557426059202203,0.9591102924696728,0.9664290031127497,0.9604189829339972,0.9532240608039362
47,48,43,0.964730615766553,-1,-1,0.9593371814431323,0.9600661227728311,0.9631750102578366,0.970105311847478,0.9653542558908994,0.9586547017181679
48,49,469,0.9673593345116488,-1,-1,0.9629944754629326,0.9632962981762986,0.9660093908189629,0.9730953759313239,0.9680262707527129,0.9620752287419091
49,50,45,0.9721103570890945,-1,-1,0.9686722299301533,0.9684615489204931,0.9714041407364379,0.9771802876199257,0.9738291647873031,0.9684794085206911
50,51,461,0.9729959934369209,-1,-1,0.9695985020906177,0.9695398993049711,0.9733043063894685,0.9784048631760326,0.9750444596076513,0.9697119217217813
51,52,46,0.9738443728042547,-1,-1,0.970445197866732,0.9705281573454688,0.9744372689409312,0.9792677752257103,0.9760702860008764,0.9706835907369714
52,53,47,0.9750725855227379,-1,-1,0.971753556282434,0.9718306998532205,0.9752032919643737,0.9795712813331675,0.9764835082597818,0.9708133781326955
53,54,8,0.7427589727278266,-1,-1,0.7306074316154489,0.7675988083448692,0.7599506766825248,0.7753963166547696,0.8062933847611128,0.8028182920535287
54,55,48,0.7490580469839807,-1,-1,0.7337735893167238,0.768753042979517,0.7604300603289531,0.7685260133451144,0.8058156016661793,0.8027215253388089
55,56,49,0.7405728838788015,-1,-1,0.7263704337378861,0.7582232810638028,0.7505261715824275,0.7612146978992198,0.8028091850236632,0.7989913264736289
56,57,50,0.7315786272039904,-1,-1,0.7207406846876915,0.7503711739311607,0.7414687826219789,0.7435129651976714,0.7982807783070928,0.7950897121108951
57,58,51,0.718992210417659,-1,-1,0.7121498669684666,0.7344583051542024,0.7364045898044562,0.7102052346349144,0.7813303028019635,0.7911095436832658
58,59,52,0.6504868475357289,-1,-1,0.6498600381549635,0.6589829928934373,0.6990571845405579,0.6747956033200828,0.7205338285707451,0.7539242449947222
59,60,53,0.6319702021067394,-1,-1,0.6290506988217882,0.6559606567218068,0.7033068358936333,0.669423477627021,0.7044528740200408,0.7693244877636429
60,61,54,0.6691138739089815,-1,-1,0.6585692887910591,0.7317779597635132,0.7548464513373909,0.7039160732527308,0.7499408080758634,0.8053296288810802
61,62,55,0.6784671841992378,-1,-1,0.6661287540969238,0.735026512491986,0.7648751583572421,0.7147886125793987,0.7559265263218586,0.8140336717324616
62,63,56,0.6124640676881683,-1,-1,0.595873524460793,0.6237586640717133,0.6630096638333275,0.7644706383692136,0.7063834148484462,0.7319206724001395
63,65,169,0.713551285808573,-1,-1,0.703838297785743,0.7200266225994051,0.7258176241506511,0.8291165425872493,0.7861318921894016,0.7627135256870323
64,66,169,0.657039162797579,-1,-1,0.6342694787352811,0.7307425178101673,0.71393555555034,0.702478969527151,0.7132681312854828,0.7421618277737753
65,67,57,0.7172253449945755,-1,-1,0.7010040478001426,0.7314714322023811,0.7222973263493672,0.8236082624961264,0.7911021281744043,0.821936306559418
66,68,58,0.6534731541057734,-1,-1,0.6400331303613684,0.7162763521234898,0.7879926242117138,0.6781144649681083,0.7146047772653987,0.8035536289427359
67,69,57,0.747299706502734,-1,-1,0.7295987861760469,0.7611228172319283,0.7406923927786533,0.7906300528744976,0.8160187028415045,0.8255296635378048
68,70,59,0.638329003024652,-1,-1,0.622634033013403,0.7132122817486112,0.7666818642395864,0.6671517389044054,0.7080410811145322,0.7795200684361681
69,71,60,0.6533763151558615,-1,-1,0.6372645278190167,0.7094439255431549,0.7642777159438386,0.6896312396561385,0.712495077006319,0.7834673454946982
70,72,61,0.6594662298167563,-1,-1,0.6440444666820627,0.6934994403791488,0.7556471690621406,0.7137927534954813,0.7169485087405221,0.7800071505119552
71,73,62,0.6628405609144867,-1,-1,0.6474567057841938,0.6851872447372369,0.7517927527884148,0.732434452498357,0.723728936851496,0.7731612186035719
72,74,63,0.6623977581026095,-1,-1,0.6479316057405009,0.6816616540421933,0.7467897276069981,0.7379649041505436,0.7228430048727982,0.7657452529470665
73,75,64,0.6635049820854088,-1,-1,0.6493342111570056,0.6787522862499439,0.743600327962048,0.7457335267663603,0.7249711112364483,0.7604495439861566
74,76,65,0.6643962643277053,-1,-1,0.6504054493549425,0.6762359202150031,0.7405776915948383,0.7527763990319446,0.727020257199622,0.7558172777066581
75,77,66,0.6643586601071079,-1,-1,0.650116615851931,0.6735870014892219,0.7356259306991824,0.756349610264524,0.7272512220213297,0.7484650166258726
76,78,67,0.6696908984554291,-1,-1,0.654979558990248,0.6750948890845881,0.7334814185723236,0.7652060108490898,0.7320548399622273,0.7426067321878617
77,79,68,0.6724465241499654,-1,-1,0.6575883493425771,0.6769352017126758,0.7340747280499779,0.767238417071537,0.7338230017663994,0.7420443902387781
78,80,69,0.6752585007317897,-1,-1,0.6606620650118556,0.6787846530787239,0.7359830534392541,0.7713120109449275,0.7366636411518523,0.7429702814863575
79,81,70,0.3766742947145388,-1,-1,0.35881144600331827,0.33714637613337567,0.38848447154526405,0.33289239373918283,0.2846159949669936,0.30549909013648313
80,82,71,0.5661913530344076,-1,-1,0.559967135023807,0.5610775956031615,0.5840250916931736,0.5708419673282183,0.5288972184651645,0.5394244032998191
81,83,44,0.9666257633524689,-1,-1,0.9619438662450178,0.9623406230556636,0.9651912239530883,0.9724297786651046,0.9671486021276581,0.9610691157918306
82,84,73,0.4665403342987708,-1,-1,0.464953386134035,0.4662780986739479,0.49577753322544627,0.5159427624165269,0.46424919379554314,0.4727502244035087
83,85,74,0.4722187246675373,-1,-1,0.4702858212904753,0.4724930571420791,0.4994139126380998,0.5225611799853795,0.4706064286321654,0.4778294364708835
84,86,75,0.5498725906330733,-1,-1,0.5424197458917863,0.5559510180267567,0.559965081304678,0.6088944794169631,0.5561498036684996,0.5459002715992267
85,88,77,0.5734282589105131,-1,-1,0.5604908040425142,0.5723635339951229,0.5719239095643607,0.642110011130388,0.5834702155668533,0.5565166225872218
86,89,78,0.5834484706732084,-1,-1,0.5683092599319656,0.5786802840792356,0.5773987496595493,0.6527880687914045,0.5936681171737328,0.5616678947008988
87,90,79,0.5928743227077464,-1,-1,0.5767119407120173,0.5855440696784341,0.584199698719053,0.662417258461954,0.6029935561461998,0.5676901018950672
88,91,80,0.601909319087632,-1,-1,0.5840204482494894,0.5915515117378356,0.589730014160731,0.670901905840424,0.6118994816706254,0.5725537100756483
89,92,81,0.6106165138605975,-1,-1,0.591067552001923,0.5971297253876552,0.5954478786574372,0.6787875323734882,0.6203366876633395,0.5773512615436273
90,94,82,0.6708012258192777,-1,-1,0.6403495741772994,0.6418932071607768,0.6656674646068776,0.7357067762217131,0.6910506519473383,0.6290821055656858
91,95,84,0.6737517797020466,-1,-1,0.6427570783342248,0.6441825348681086,0.6700479151693048,0.7385009966228178,0.6944156490028819,0.6326789506534991
92,96,85,0.677712226036808,-1,-1,0.6465853646270685,0.6478255143447139,0.6751908257609249,0.7419801321338699,0.6986275635150353,0.6375018702019266
93,97,86,0.7006526248832667,-1,-1,0.6720516755131087,0.6717492282140053,0.6943287672515307,0.75583598184544,0.7182105661624163,0.6627546378902057
94,101,88,0.7032314137112021,-1,-1,0.6745206884013474,0.6739340232415011,0.6967210672285121,0.7574870590287367,0.7201435367222421,0.6654317274258247
95,102,89,0.7072130516844962,-1,-1,0.6789806312173041,0.6781701995953421,0.7006939273032331,0.7609847177886322,0.7239379671391796,0.670192751883739
96,104,90,0.710821732692716,-1,-1,0.6820921147068393,0.680951979711803,0.7032832430632542,0.7624456619832909,0.7258539265791047,0.6730899373261054
97,105,91,0.716263476266083,-1,-1,0.6884531495301969,0.6870653955421938,0.7085017562385577,0.7673393836364659,0.7310694242778086,0.6795824261932889
98,106,92,0.7226022384655586,-1,-1,0.6958682940568167,0.6944125276733367,0.714314310498363,0.7732160446222929,0.7371940810545823,0.6869574577951761
99,107,93,0.7388571852361907,-1,-1,0.7120663707901443,0.7175808816221207,0.7485469646055852,0.8060197356962111,0.7640423220381849,0.7113794953315506
100,108,93,0.7469935924740669,-1,-1,0.721457877732735,0.7206700807701923,0.7341295421041621,0.7911739084791108,0.756438659449911,0.7107904983180502
101,111,94,0.753042011549265,-1,-1,0.7275765308148243,0.7294033280679987,0.7441443738738641,0.801692144131641,0.7652845649799298,0.7188420419562238
102,114,98,0.7661126934504711,-1,-1,0.7408927508238369,0.7380308498245453,0.7500068487042589,0.801508917436772,0.770271163975547,0.7269587867907353
103,115,97,0.7730026118387117,-1,-1,0.7472089880300676,0.7504624349331103,0.7722980132698892,0.8218462571382161,0.7889393361233104,0.7460312628955774
104,116,98,0.8306835105286781,-1,-1,0.8123077689845336,0.8176562757884395,0.8340423318441811,0.8681408644595737,0.840563725228486,0.815675371814907
105,117,99,0.8173816097660564,-1,-1,0.7954309796439347,0.8014287958471051,0.8288386398065568,0.8611927252967511,0.8337084242501741,0.8033493354617676
106,118,100,0.7521258432326509,-1,-1,0.733064718782561,0.7339254327629118,0.7329529453256912,0.7921278452398692,0.7643993625722881,0.7266998969954509
107,119,100,0.8232161451041098,-1,-1,0.8017780888055117,0.8025009581609942,0.8184321225737166,0.8575935631649642,0.8317443079970781,0.798846755074781
108,120,101,0.8174318260253007,-1,-1,0.7958833994891024,0.7978600398367596,0.799026443979716,0.8421594163012767,0.8239202235360915,0.8023128085692259
109,121,102,0.8117890699804611,-1,-1,0.7892313448006445,0.7920260268108817,0.808758366681026,0.8488519874156985,0.8240296345854695,0.7922968580560632
110,122,232,0.9011092138452301,-1,-1,0.8883882919587576,0.8860465982266738,0.8833524523941717,0.9088187646557904,0.8926613317598513,0.8690098279747038
