channel_id,channel_number,node,lolo,lomed,lohi,medlo,medmed,medhi,hilo,himed,hihi
0,1,1,0.9972056815791948,0.9995943900331511,0.999386904925207,0.9984259223331552,0.9992113379906189,0.999317652568237,0.9952317335529399,0.9992357012354269,0.9999190143231458
1,2,2,0.967732792454152,0.9871749207791268,0.9965433232453235,0.9841970288695323,0.9871652049772393,0.9941163668430105,0.9652916733956248,0.9928052178823255,0.9995916298957083
2,3,3,0.9306945780117476,0.9632189015226499,0.9894835693209276,0.9660519820430462,0.9675555772436891,0.9819557136523107,0.924423371227899,0.9832646833560256,0.9985293738923545
3,4,4,0.9300078127099167,0.9426653114338872,0.9762529911434769,0.9393930637871185,0.9588754543837568,0.9820680866804008,0.9192719361272579,0.971169079750417,0.9951426348238722
4,5,5,0.8804184078630772,0.8999124001581721,0.9548352438293753,0.8946436714140904,0.9270300012293606,0.9567908859142453,0.8759659405241764,0.9525441508472056,0.9910957460714516
5,6,6,0.8700176000614431,0.8935555845633905,0.9381342996844206,0.8733641034079463,0.9229880935780016,0.9463897936316161,0.8651687233344784,0.9339218343573644,0.986486065883185
6,7,7,0.8613709092991044,0.8899203011940573,0.9321903128151032,0.8616679642147386,0.915301887197473,0.935532693305981,0.857132336396836,0.9293564638668395,0.9847531458214184
7,8,8,0.780309953073243,0.8141471091943245,0.9028618434392223,0.7675022282098007,0.8129145821144971,0.8184469815158141,0.7863677317846507,0.7999106642888686,0.9279385280846454
8,9,9,0.8075596179996851,0.8352535827874785,0.9152290908275381,0.7977141019656754,0.8366985258068598,0.8425092870052605,0.815153901878717,0.819107276149674,0.9324236561589971
9,10,10,0.8320345054070015,0.8551169249466823,0.9262221214658359,0.8254855189844971,0.8579089139927035,0.8646229635846285,0.8400238130172453,0.8403347564141425,0.9382040855652932
10,11,11,0.8499937103892382,0.8711744106036485,0.935182726599192,0.8466300305913282,0.8688491670157075,0.8799629149106588,0.8580229825689829,0.8576147078393517,0.9422707740427301
11,12,12,0.8711729523739586,0.8877890155079385,0.942430223909143,0.8682889935339646,0.8850928930264259,0.8908400039363358,0.8752370515543002,0.8766908649034716,0.9495636280546326
12,13,13,0.8827107634032211,0.8953814224735458,0.9476258229048561,0.8792157966292445,0.8965880795542008,0.898830115915464,0.8843065344329876,0.8888991242966906,0.9534604916329089
13,14,14,0.8923005689577248,0.9016269458144959,0.9530931145233514,0.8882302600737986,0.90624216466772,0.9095638760748687,0.8932095366390375,0.8986866898772009,0.9579000746743671
14,15,15,0.8974543127149487,0.9063889490831166,0.956820249428528,0.8938011996923346,0.9115875437820294,0.9179952193977541,0.9001785962191782,0.9049625536015482,0.9608070343209013
15,16,16,0.9095026832611498,0.9188622807416559,0.9634052826337326,0.906126428540942,0.9222666767141399,0.9310421740731776,0.9121585302324308,0.9178419355011554,0.9656852225339424
16,17,17,0.9999999999999915,0.9999997556472515,0.9999999404636263,0.9999999917845165,0.9999996950216027,0.9999999743462208,0.999999989070848,0.9999999481059924,0.9999874541248885
17,18,18,0.9335733680379111,0.9435445800863848,0.9758050992944558,0.9325689443361661,0.9426983516486359,0.9563161190939704,0.9336458678008891,0.9390394420291489,0.9734731462780525
18,19,19,0.940235989760613,0.9496002696599904,0.9779982431137192,0.9390446412273169,0.9482424657012282,0.9605390295874707,0.9391648145164612,0.9447380320256782,0.9748006981718251
19,20,20,0.9470316624382437,0.9557609662575611,0.9798759786970841,0.945514144911559,0.9538855265968506,0.964160294074834,0.9449250636010594,0.9507062469293642,0.9762046548034781
20,21,21,0.9547902301040293,0.9613043708835027,0.9813242242058899,0.9525183279792644,0.9598732076516664,0.9675612023782605,0.9509417803220601,0.9575250103954731,0.9790994712205446
21,22,22,0.9610322506885989,0.9660622184687677,0.9823625090822494,0.9583619063100908,0.9652782559181938,0.9702163952429956,0.9569058796077361,0.962974597909136,0.979001704270532
22,23,23,0.9655885275302557,0.9697312080155871,0.9831276823939021,0.9629344270372022,0.969686687893347,0.9722713171428622,0.9619021439634895,0.9674420670037773,0.978395760040831
23,24,24,0.9761013824196673,0.9785073740724697,0.9820833347867616,0.9711847853134689,0.9795537717244456,0.9753243921770208,0.9737004766693045,0.9757494385801557,0.9725381914915115
24,25,25,0.9783906178105322,0.9798559557485592,0.9815816818364954,0.9745582097553294,0.9814276720760484,0.9750244204655294,0.977096862403157,0.9779391618386561,0.9701267573886069
25,26,26,0.948687730629584,0.9522286483619568,0.968863927036698,0.9457705356003118,0.9506563357966866,0.9506205248599011,0.9516405505124569,0.9439084725061275,0.9313960301698543
26,27,28,0.9529145374835158,0.956359925134268,0.971176230503814,0.9502111652843915,0.9546392224988086,0.954728107766486,0.9547758328968994,0.9475136708901488,0.9364165061483692
27,28,27,0.9565005407585623,0.9592030395246297,0.973163782942192,0.9542060702477936,0.9582015859546196,0.9581467213344258,0.9591683131635415,0.9524570668333702,0.9413326133903736
