Date,Month,OMR,Sac.cfs,SJR.cfs
1922/9/30,9,-6500,18720,2454
1925/9/30,9,-6500,9816,1832
1927/7/31,7,-6500,23523,1754
1933/12/31,12,-6500,15377,1791
1937/9/30,9,-6500,9711,2412
1938/10/31,10,-6500,13859,3308
1945/9/30,9,-6500,9790,2428
1945/10/31,10,-6500,9277,3194
1946/11/30,11,-6500,10444,2251
1948/11/30,11,-6500,10637,1714
1949/7/31,7,-6500,15120,1226
1949/9/30,9,-6500,10292,1729
1952/10/31,10,-6500,14125,2623
1954/7/31,7,-6500,24880,1286
1955/9/30,9,-6500,10652,1734
1956/9/30,9,-6500,18666,2545
1964/11/30,11,-6500,13910,1567
1970/9/30,9,-6500,16865,1783
1972/10/31,10,-6500,10301,1725
1973/7/31,7,-6500,20665,1459
1973/9/30,9,-6500,17065,2422
1978/9/30,9,-6500,18043,3548
1978/12/31,12,-6500,11336,2234
1979/9/30,9,-6500,10302,1895
1979/10/31,10,-6500,10361,2643
1982/10/31,10,-6500,16257,8224
1983/9/30,9,-6500,21962,6756
1985/7/31,7,-6500,14907,1224
1985/9/30,9,-6500,10190,1896
1986/12/31,12,-6500,11039,1812
1993/8/31,8,-6500,15118,2022
1994/9/30,9,-6500,10367,1150
1995/10/31,10,-6500,14506,2903
1999/12/31,12,-6500,11744,1484
2000/7/31,7,-6500,23399,1528
2002/9/30,9,-6500,10329,1628
1922/1/31,1,-5000,17769,2490
1922/6/30,6,-5000,19451,10123
1922/12/31,12,-5000,33119,5900
1923/1/31,1,-5000,29605,9693
1923/2/28,2,-5000,19424,6830
1923/11/30,11,-5000,9264,2055
1923/12/31,12,-5000,9928,1799
1924/1/31,1,-5000,12225,1720
1924/2/29,2,-5000,17847,1894
1925/1/31,1,-5000,12777,1473
1925/7/31,7,-5000,12779,1446
1925/11/30,11,-5000,8733,1798
1926/1/31,1,-5000,17782,1593
1926/9/30,9,-5000,8604,1639
1926/12/31,12,-5000,22834,1794
1927/6/30,6,-5000,12062,2356
1927/10/31,10,-5000,12264,3651
1928/1/31,1,-5000,23365,2814
1928/9/30,9,-5000,12766,1854
1929/1/31,1,-5000,13247,1588
1929/2/28,2,-5000,19481,1747
1929/12/31,12,-5000,18477,1335
1930/6/30,6,-5000,14997,1127
1930/9/30,9,-5000,8629,1727
1931/1/31,1,-5000,13786,1478
1931/12/31,12,-5000,19595,2477
