Date,Sac.cfs,SJR.cfs,Month,Year,OMR,Exports,OMR_group,Sub.group
1921-12-31T00:00:00Z,19518.53979291754,4421.074211881515,12,1921,-5290.322580645161,8437.412121005807,-5000,medhi
1922-01-31T00:00:00Z,20220.73522459164,3347.9671879255693,1,1922,-4516.1290322580635,7139.601160347875,-5000,medmed
1922-03-31T00:00:00Z,39305.87954956103,7986.818280331116,3,1922,-3500.0000000000005,7816.101329129999,-3500,hihi
1922-05-31T00:00:00Z,31675.20126009218,6913.223567293874,5,1922,-1909.9597652057064,5114.695840508305,-2000,hihi
1922-12-31T00:00:00Z,37475.34293809488,3562.1319259018965,12,1922,-5290.322580645161,8636.213240721507,-5000,himed
1923-01-31T00:00:00Z,30413.364041619894,4755.556701192215,1,1923,-4516.129032258064,7658.441324479694,-5000,hihi
1923-03-31T00:00:00Z,14008.308706590728,4455.477246961157,3,1923,-3500,5817.550024352723,-3500,medhi
1923-05-31T00:00:00Z,15536.032063396106,3806.992316064535,5,1923,-2024.893317708466,3668.2326893616937,-2000,medmed
1923-12-31T00:00:00Z,9357.524836514864,1444.782210012889,12,1923,-1868.5621812238214,2526.3354737017594,-2000,lolo
1924-01-31T00:00:00Z,13235.64296550558,1756.4428269500343,1,1924,-5000,6557.420545932107,-5000,lolo
1924-02-29T00:00:00Z,16920.34820046394,1883.7864882693225,2,1924,-4940,6555.774108306525,-5000,medlo
1925-01-31T00:00:00Z,12225.320858269622,1612.1060824702822,1,1925,-5000,6367.534509969764,-5000,lolo
1925-03-31T00:00:00Z,20330.372569905725,2093.210298797967,3,1925,-3959.584539961806,5418.005573281271,-3500,medmed
1925-04-30T00:00:00Z,21330.864344286983,3562.8733248995486,4,1925,-2125.498524177793,3333.3734940996724,-2000,medmed
1925-06-30T00:00:00Z,12599.203461840087,1702.6939634621328,6,1925,-4927.717487522326,5139.4090100859885,-5000,lolo
1926-01-31T00:00:00Z,17876.010027669934,1809.2908993695785,1,1926,-4999.999999999999,6614.073471503886,-5000,medlo
1926-03-31T00:00:00Z,20809.637698514485,2154.9773457610927,3,1926,-3818.954752579751,4897.275153765682,-3500,medmed
1926-04-30T00:00:00Z,18581.449893827226,3034.5528498050026,4,1926,-1974.6961461534459,3502.6074568808394,-2000,medmed
1926-06-30T00:00:00Z,13776.685704399206,1467.4087318713068,6,1926,-4999.999999999997,5103.415743145139,-5000,medlo
1926-12-31T00:00:00Z,16882.6930116252,1552.3129994304036,12,1926,-5290.322580645156,6373.9053652364055,-5000,medlo
1927-01-31T00:00:00Z,33957.086923462164,1839.6719608255805,1,1927,-4516.1290322580635,5918.7823879794505,-5000,hilo
1927-03-31T00:00:00Z,47281.83940249883,3062.3133791274163,3,1927,-3500,5373.225393645618,-3500,himed
1927-04-30T00:00:00Z,44491.21617080615,7459.643309943956,4,1927,-3845,5933.055882371792,-3500,hihi
1927-06-30T00:00:00Z,12157.92133469494,2628.4874290084394,6,1927,-4667.094698617164,5682.671638173017,-5000,lomed
1927-12-31T00:00:00Z,12840.318370063958,1660.7071046719905,12,1927,-8359.233508945976,9989.678585160395,less than -5500,lolo
1928-01-31T00:00:00Z,21107.22143208087,2143.20013781846,1,1928,-3645.1612903225787,5029.214638852529,-3500,medmed
