Flow,OMR,EXP1,EXP3,NAA,ALT1,ALT2v1,ALT2v2,ALT2v3,ALT2v4,ALT3,ALT4
lolo,-2000,0,0,0.059,0.054,0.05,0.049,0.056,0.054,0.057,0.049
lolo,-3500,0,0,0.024,0.02,0.024,0.026,0.031,0.03,0.017,0.017
lolo,-5000,0,0,0.033,0.016,0.021,0.02,0.017,0.016,0.004,0.027
lolo,<-5500,0,0,0.014,0.021,0.009,0.009,0.011,0.01,0,0.014
lolo,NA,0.121,0.2,0.059,0.043,0.089,0.093,0.081,0.087,0.164,0.097
lomed,-2000,0,0,0.04,0.021,0.02,0.027,0.041,0.023,0.016,0.021
lomed,-3500,0,0,0.013,0.02,0.019,0.016,0.016,0.011,0.007,0.023
lomed,-5000,0,0,0.021,0.01,0.011,0.011,0.011,0.011,0.001,0.013
lomed,<-5500,0,0,0,0.009,0,0,0,0,0.001,0.001
lomed,NA,0.036,0.09,0.026,0.06,0.057,0.053,0.049,0.059,0.074,0.049
lohi,-2000,0,0,0.019,0,0.001,0.003,0.001,0.001,0.004,0
lohi,-3500,0,0,0.009,0.026,0.024,0.023,0.019,0.011,0.006,0.024
lohi,-5000,0,0,0.003,0.004,0.004,0.004,0.004,0.004,0.001,0.004
lohi,<-5500,0,0,0,0,0,0,0,0,0,0
lohi,NA,0.027,0.054,0.014,0.013,0.011,0.013,0.019,0.016,0.017,0.013
medlo,-2000,0,0,0.001,0.001,0.003,0.003,0.001,0.003,0.02,0.001
medlo,-3500,0,0,0.009,0,0.023,0.024,0.019,0.019,0.003,0.011
medlo,-5000,0,0,0.077,0.023,0.026,0.026,0.026,0.027,0.017,0.037
medlo,<-5500,0,0,0.013,0.077,0.016,0.016,0.013,0.014,0.001,0.011
medlo,NA,0.083,0.05,0.016,0.007,0.036,0.034,0.033,0.029,0.047,0.033
medmed,-2000,0,0,0.04,0.003,0.009,0.01,0.021,0.024,0.004,0.007
medmed,-3500,0,0,0.03,0.029,0.07,0.066,0.041,0.044,0.006,0.054
medmed,-5000,0,0,0.036,0.01,0.016,0.016,0.014,0.014,0.009,0.036
medmed,<-5500,0,0,0.004,0.099,0.004,0.004,0.004,0.004,0,0.003
medmed,NA,0.064,0.066,0.034,0.01,0.04,0.041,0.057,0.064,0.07,0.037
medhi,-2000,0,0,0.014,0.001,0,0,0.003,0.009,0,0
medhi,-3500,0,0,0.01,0.014,0.037,0.037,0.026,0.026,0,0.026
medhi,-5000,0,0,0.011,0.023,0.016,0.016,0.014,0.014,0.004,0.017
medhi,<-5500,0,0,0,0.019,0,0,0,0,0,0
medhi,NA,0.051,0.07,0.037,0.02,0.02,0.019,0.029,0.03,0.054,0.031
hilo,-2000,0,0,0,0,0,0,0,0,0.007,0
hilo,-3500,0,0,0.004,0,0.011,0.011,0.011,0.01,0.003,0.006
hilo,-5000,0,0,0.019,0,0.011,0.011,0.011,0.011,0.02,0.014
hilo,<-5500,0,0,0,0.029,0,0,0,0,0,0
hilo,NA,0.036,0.043,0.006,0.001,0.006,0.006,0.004,0.004,0.011,0.009
himed,-2000,0,0,0.006,0,0.001,0.001,0.006,0.007,0.014,0.001
himed,-3500,0,0,0.019,0.003,0.039,0.039,0.024,0.024,0.009,0.023
himed,-5000,0,0,0.036,0,0.024,0.024,0.024,0.024,0.047,0.05
himed,<-5500,0,0,0,0.093,0,0,0,0,0,0
himed,NA,0.146,0.1,0.029,0.001,0.033,0.033,0.043,0.041,0.041,0.02
hihi,-2000,0,0,0.017,0.01,0.004,0.006,0.02,0.02,0.006,0.004
hihi,-3500,0,0,0.056,0.019,0.064,0.064,0.04,0.039,0.004,0.037
hihi,-5000,0,0,0.039,0.033,0.053,0.053,0.051,0.049,0.066,0.064
hihi,<-5500,0,0,0,0.091,0,0,0,0,0,0.003
hihi,NA,0.3,0.256,0.106,0.066,0.096,0.094,0.106,0.114,0.159,0.11
NA,-2000,0,0,0,0,0.001,0,0,0,0.004,0
NA,-3500,0,0,0,0,0,0,0,0,0,0
NA,-5000,0,0,0,0,0,0,0,0,0,0
NA,<-5500,0,0,0,0,0,0,0,0,0,0
NA,NA,0.136,0.071,0,0.001,0,0,0,0,0.001,0
