Date,Month,OMR,Sac.cfs,SJR.cfs,Sub.group
1933/12/31,12,-6500,15377,1791,medlo
1978/12/31,12,-6500,11336,2234,lomed
1986/12/31,12,-6500,11039,1812,lolo
1999/12/31,12,-6500,11744,1484,lolo
1922/1/31,1,-5000,17769,2490,medmed
1922/6/30,6,-5000,19451,10123,medhi
1922/12/31,12,-5000,33119,5900,hihi
1923/1/31,1,-5000,29605,9693,hihi
1923/2/28,2,-5000,19424,6830,medhi
1923/12/31,12,-5000,9928,1799,lolo
1924/1/31,1,-5000,12225,1720,lolo
1924/2/29,2,-5000,17847,1894,medmed
1925/1/31,1,-5000,12777,1473,lolo
1926/1/31,1,-5000,17782,1593,medlo
1926/12/31,12,-5000,22834,1794,medlo
1927/6/30,6,-5000,12062,2356,lomed
1928/1/31,1,-5000,23365,2814,medmed
1929/1/31,1,-5000,13247,1588,lolo
1929/2/28,2,-5000,19481,1747,medlo
1929/12/31,12,-5000,18477,1335,medlo
1930/6/30,6,-5000,14997,1127,medlo
1931/1/31,1,-5000,13786,1478,lolo
1931/12/31,12,-5000,19595,2477,medmed
1932/2/29,2,-5000,24114,6210,medhi
1932/6/30,6,-5000,16518,2159,medmed
1933/1/31,1,-5000,15689,2070,medmed
1933/2/28,2,-5000,16319,2020,medmed
1935/6/30,6,-5000,14155,2581,medmed
1936/6/30,6,-5000,12780,2680,lomed
1937/1/31,1,-5000,14169,3508,medmed
1937/12/31,12,-5000,59976,7968,hihi
1938/1/31,1,-5000,31091,9222,hihi
1939/2/28,2,-5000,14365,3091,medmed
1940/2/29,2,-5000,59522,5573,hihi
1940/6/30,6,-5000,13323,2387,lomed
1940/12/31,12,-5000,30933,4230,himed
1941/12/31,12,-5000,44621,5489,hihi
1942/1/31,1,-5000,62524,12289,hihi
1942/12/31,12,-5000,28252,4469,hihi
1943/2/28,2,-5000,50737,11904,hihi
1944/1/31,1,-5000,13838,2206,lomed
1944/6/30,6,-5000,15457,2139,medmed
1944/12/31,12,-5000,17638,2501,medmed
1945/1/31,1,-5000,14300,2428,medmed
1945/6/30,6,-5000,14369,2409,medmed
1945/12/31,12,-5000,55888,6961,hihi
1946/1/31,1,-5000,45227,6721,hihi
1946/2/28,2,-5000,19498,4684,medhi
1946/6/30,6,-5000,13507,2340,lomed
1947/1/31,1,-5000,10794,2593,lomed
1947/6/30,6,-5000,15605,1299,medlo
1948/6/30,6,-5000,13085,2153,lomed
1949/1/31,1,-5000,11719,1488,lolo
1949/2/28,2,-5000,17567,1805,medlo
1949/6/30,6,-5000,14065,1791,medlo
1950/6/30,6,-5000,12454,2421,lomed
1951/6/30,6,-5000,15642,1891,medmed
1951/12/31,12,-5000,40785,2116,himed
1952/1/31,1,-5000,66451,8797,hihi
1952/2/29,2,-5000,66666,8968,hihi
1952/12/31,12,-5000,36203,2484,himed
1953/1/31,1,-5000,69940,7188,hihi
1953/6/30,6,-5000,13276,1859,lomed
1955/1/31,1,-5000,20144,2197,medmed
1955/2/28,2,-5000,15501,1747,medlo
1955/12/31,12,-5000,52534,12765,hihi
1957/1/31,1,-5000,13407,1963,lomed
1957/6/30,6,-5000,12519,1885,lomed
1958/6/30,6,-5000,14955,8422,medhi
1959/2/28,2,-5000,48150,6281,hihi
1960/1/31,1,-5000,12644,1340,lolo
