OMR,EXP1,EXP3,NAA,ALT1,ALT2v1,ALT2v2,ALT2v3,ALT2v4,ALT3,ALT4
positive,1,1,0.13,0.08,0.09,0.09,0.15,0.18,0.59,0.09
Other,0,0,0.2,0.14,0.3,0.3,0.27,0.27,0.05,0.3
