Date_x,month_year,OMR_bin,Sac.cfs,SJR.cfs,Sub.group
1921-12-01,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-02,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-03,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-04,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-05,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-06,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-07,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-08,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-09,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-10,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-11,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-12,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-13,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-14,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-15,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-16,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-17,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-18,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-19,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-20,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-21,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-22,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-23,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-24,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-25,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-26,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-27,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-28,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-29,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-30,1921-12,-5000,19518.53979,4421.074212,medhi
1921-12-31,1921-12,-5000,19518.53979,4421.074212,medhi
1922-01-01,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-02,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-03,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-04,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-05,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-06,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-07,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-08,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-09,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-10,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-11,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-12,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-13,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-14,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-15,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-16,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-17,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-18,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-19,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-20,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-21,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-22,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-23,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-24,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-25,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-26,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-27,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-28,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-29,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-30,1922-01,-5000,20220.73522,3347.967188,medmed
1922-01-31,1922-01,-5000,20220.73522,3347.967188,medmed
1922-02-01,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-02,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-03,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-04,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-05,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-06,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-07,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-08,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-09,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-10,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-11,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-12,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-13,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-14,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-15,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-16,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-17,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-18,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-19,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-20,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-21,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-22,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-23,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-24,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-25,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-26,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-27,1922-02,99999,43810.80462,10644.56266,hihi
1922-02-28,1922-02,99999,43810.80462,10644.56266,hihi
1922-03-01,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-02,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-03,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-04,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-05,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-06,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-07,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-08,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-09,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-10,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-11,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-12,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-13,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-14,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-15,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-16,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-17,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-18,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-19,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-20,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-21,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-22,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-23,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-24,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-25,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-26,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-27,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-28,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-29,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-30,1922-03,-3500,39305.87955,7986.81828,hihi
1922-03-31,1922-03,-3500,39305.87955,7986.81828,hihi
1922-04-01,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-02,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-03,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-04,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-05,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-06,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-07,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-08,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-09,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-10,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-11,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-12,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-13,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-14,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-15,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-16,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-17,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-18,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-19,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-20,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-21,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-22,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-23,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-24,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-25,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-26,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-27,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-28,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-29,1922-04,99999,30564.31019,8955.167534,hihi
1922-04-30,1922-04,99999,30564.31019,8955.167534,hihi
1922-05-01,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-02,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-03,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-04,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-05,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-06,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-07,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-08,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-09,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-10,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-11,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-12,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-13,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-14,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-15,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-16,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-17,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-18,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-19,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-20,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-21,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-22,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-23,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-24,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-25,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-26,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-27,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-28,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-29,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-30,1922-05,-2000,31675.20126,6913.223567,hihi
1922-05-31,1922-05,-2000,31675.20126,6913.223567,hihi
1922-06-01,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-02,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-03,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-04,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-05,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-06,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-07,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-08,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-09,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-10,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-11,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-12,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-13,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-14,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-15,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-16,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-17,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-18,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-19,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-20,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-21,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-22,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-23,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-24,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-25,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-26,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-27,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-28,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-29,1922-06,99999,11641.56844,6113.742774,lohi
1922-06-30,1922-06,99999,11641.56844,6113.742774,lohi
1922-12-01,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-02,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-03,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-04,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-05,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-06,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-07,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-08,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-09,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-10,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-11,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-12,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-13,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-14,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-15,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-16,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-17,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-18,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-19,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-20,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-21,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-22,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-23,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-24,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-25,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-26,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-27,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-28,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-29,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-30,1922-12,-13000,37475.34294,3562.131926,himed
1922-12-31,1922-12,-13000,37475.34294,3562.131926,himed
1923-01-01,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-02,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-03,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-04,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-05,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-06,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-07,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-08,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-09,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-10,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-11,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-12,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-13,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-14,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-15,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-16,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-17,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-18,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-19,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-20,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-21,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-22,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-23,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-24,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-25,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-26,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-27,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-28,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-29,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-30,1923-01,-5000,30413.36404,4755.556701,hihi
1923-01-31,1923-01,-5000,30413.36404,4755.556701,hihi
1923-02-01,1923-02,-3500,18546.44555,5458.615462,medhi
1923-02-02,1923-02,-3500,18546.44555,5458.615462,medhi
1923-02-03,1923-02,-3500,18546.44555,5458.615462,medhi
1923-02-04,1923-02,-3500,18546.44555,5458.615462,medhi
1923-02-05,1923-02,-3500,18546.44555,5458.615462,medhi
1923-02-06,1923-02,-3500,18546.44555,5458.615462,medhi
1923-02-07,1923-02,-3500,18546.44555,5458.615462,medhi
1923-02-08,1923-02,-3500,18546.44555,5458.615462,medhi
1923-02-09,1923-02,-3500,18546.44555,5458.615462,medhi
1923-02-10,1923-02,-3500,18546.44555,5458.615462,medhi
1923-02-11,1923-02,-3500,18546.44555,5458.615462,medhi
1923-02-12,1923-02,-3500,18546.44555,5458.615462,medhi
1923-02-13,1923-02,-3500,18546.44555,5458.615462,medhi
1923-02-14,1923-02,-3500,18546.44555,5458.615462,medhi
1923-02-15,1923-02,-3500,18546.44555,5458.615462,medhi
