channel_id,channel_number,node,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1,1,0.99309762,0.999852535,0.999856249,0.999950182,0.999946924,0.999912778,0.999973165,0.999989661,0.999986601,0.999985089,0.999978542,0.997649666
1,2,2,0.988413167,0.999785317,0.999795475,0.999921388,0.999939582,0.999857427,0.999826903,0.99991179,0.999911243,0.999930808,0.999742124,0.986509293
2,3,3,0.98471417,0.99972542,0.999759231,0.999894615,0.999913462,0.999746574,0.999474841,0.999595083,0.999365405,0.999798791,0.998931868,0.991170848
3,4,4,0.978153689,0.999184396,0.999195591,0.999635393,0.999526959,0.999244459,0.998347422,0.997940715,0.996650745,0.998988329,0.996322019,0.988710837
4,5,5,0.95790237,0.997530644,0.999248656,0.999572686,0.999512161,0.997650399,0.998402546,0.997442919,0.994447349,0.998645591,0.995504826,0.973281543
5,6,6,0.944029634,0.996903414,0.998458619,0.999088787,0.998866009,0.997260301,0.996825647,0.994787425,0.990347725,0.99702501,0.991370335,0.963506712
6,7,7,0.938388784,0.997053609,0.998492004,0.998938297,0.998658204,0.997428281,0.996812355,0.994327342,0.98904637,0.99670506,0.990622611,0.953576033
7,8,8,0.195021818,0.963835172,0.952696175,0.947272937,0.929189743,0.96152379,0.88298295,0.800692927,0.643022468,0.858403475,0.695274089,0.102375735
8,9,9,0.253424797,0.962679883,0.951032445,0.946514206,0.928499075,0.960257452,0.881040813,0.799223617,0.663514316,0.856085062,0.712521447,0.149249513
9,10,10,0.276195304,0.965666181,0.955348951,0.949112368,0.931825291,0.963924253,0.875011603,0.797141841,0.673197836,0.857875,0.717766137,0.180848686
10,11,11,0.294850615,0.967352682,0.957715329,0.950662622,0.933827904,0.966125737,0.870754726,0.799434385,0.679537851,0.858792563,0.72490128,0.22224323
11,12,12,0.321614438,0.970566852,0.962166363,0.953612666,0.937322461,0.970462587,0.866422836,0.807092067,0.699187686,0.86131755,0.73264065,0.282341644
12,13,13,0.337587042,0.971904131,0.963832735,0.954930009,0.938735247,0.97228459,0.863896533,0.812273851,0.713341212,0.86197214,0.737528959,0.317623471
13,14,14,0.370615501,0.972600982,0.964667531,0.95567888,0.939541617,0.973168915,0.863976955,0.822771773,0.728843662,0.862268206,0.744496415,0.364117122
14,15,15,0.394088303,0.973332225,0.965551184,0.956459869,0.940281816,0.974159245,0.864393337,0.831644258,0.739632817,0.862640907,0.749202877,0.391605174
15,16,16,0.484513591,0.976289848,0.968727926,0.958919808,0.943071892,0.976269854,0.87323446,0.852406211,0.766607603,0.867203485,0.76817046,0.471636337
16,17,17,1,0.999939494,0.999949147,0.999986224,0.999991291,0.999977009,0.99999556,0.999998745,1,0.999999993,0.999999998,1
17,18,18,0.600962105,0.976696283,0.969530147,0.959983941,0.94471105,0.976799315,0.892701367,0.878456227,0.814953609,0.874284786,0.80190797,0.573720417
18,19,19,0.630422647,0.976716018,0.969610468,0.960237114,0.945136767,0.976835017,0.900051775,0.88611107,0.826691664,0.876626767,0.810612843,0.601536308
19,20,20,0.659977585,0.976639809,0.969509774,0.960385399,0.945494193,0.976776061,0.908386638,0.895051679,0.838328584,0.878985202,0.81952849,0.631551399
20,21,21,0.686715927,0.977957516,0.974706374,0.960336305,0.945706636,0.976157988,0.91727027,0.904686599,0.849614401,0.882617434,0.827887949,0.659897785
21,22,22,0.713895414,0.977977888,0.974783342,0.960772511,0.946559383,0.976222795,0.923430822,0.913072811,0.86008342,0.887845977,0.836291516,0.689406729
22,23,23,0.734511156,0.978116204,0.975009546,0.96127228,0.947392164,0.976320251,0.927857761,0.919256826,0.868537237,0.893008432,0.84131737,0.712360043
23,24,24,0.792693239,0.9868694,0.981536482,0.96967922,0.955791659,0.982774166,0.946762327,0.942059927,0.903959647,0.921042184,0.876194489,0.778687064
