CHAN_NO,LENGTH (feet),UPNODE,DOWNNODE
372,8624,293,294
373,9831,294,295
374,6080,295,271
375,14000,296,297
376,12000,297,298
377,11397,298,299
378,20000,299,300
379,3300,339,300
380,9200,300,301
381,10454,301,302
382,12340,302,304
383,12528,340,303
384,10577,303,304
385,8928,304,305
386,15694,305,306
387,11358,306,350
388,12307,302,307
389,8822,307,308
390,18016,308,316
391,19781,309,310
392,23897,310,311
393,15515,311,312
394,21261,312,313
395,16091,313,314
396,24303,314,315
397,14831,315,316
398,21353,316,350
399,17100,317,318
400,6300,318,323
401,25700,319,321
402,14600,320,321
403,6200,321,322
404,2600,322,323
405,4000,323,316
406,8900,273,324
407,7700,324,325
408,7500,325,326
409,14100,326,322
410,14047,330,331
411,27314,331,704
412,6700,332,333
413,9400,333,334
414,14700,334,335
415,18100,335,336
416,6900,336,337
417,5500,337,338
418,7451,338,339
419,8273,339,340
420,8600,340,705
421,9983,341,342
422,5317,342,343
423,11655,343,344
424,14165,344,346
426,8874,346,347
427,11465,347,348
428,8769,348,349
429,8661,349,350
430,13931,350,351
431,13783,351,352
432,15812,352,353
433,12134,352,353
434,20141,353,354
435,10827,354,355
436,7094,355,464
437,20200,356,357
438,12100,362,358
439,10200,358,359
440,14800,359,360
441,5398,360,361
442,10700,356,328
443,11500,357,362
444,12631,227,329
445,9098,329,366
447,10900,238,363
448,8200,363,365
449,7000,364,365
450,10000,238,227
451,15800,365,367
452,9000,358,359
453,14428,366,367
454,12200,367,360
455,3000,369,370
456,10200,370,379
457,15600,396,389
458,8189,368,371
459,3546,371,372
460,11456,372,373
461,10929,373,374
462,7577,374,375
463,7670,375,376
464,10666,445,377
465,3782,377,378
466,6218,378,364
467,7000,379,380
468,14000,380,381
469,9552,381,382
470,11154,443,377
471,7216,442,377
472,12233,385,384
473,3909,367,385
474,4692,382,443
475,6300,387,388
476,9200,389,390
477,4000,390,388
478,4137,388,375
479,10560,390,391
480,13002,391,382
481,2078,381,391
483,13500,392,371
484,21700,400,372
485,6000,394,373
486,11538,395,371
487,3500,393,400
488,6052,397,398
489,1930,373,398
490,8824,398,399
491,10953,399,425
497,7449,403,409
498,10349,409,406
499,5920,406,421
500,3011,384,444
501,3814,444,442
502,14300,408,409
503,10167,409,410
505,3226,410,406
506,6836,412,406
507,5262,404,405
508,6213,405,395
509,11407,413,421
511,5773,464,417
512,6038,417,418
513,31445,418,420
515,12292,420,421
516,8664,421,422
517,12909,422,425
522,22742,425,428
523,10015,428,364
527,15700,327,425
528,2107,376,428
529,1250,432,418
530,14250,433,432
531,11750,434,433
532,14750,436,434
537,3500,384,440
539,5500,440,378
542,4200,440,365
543,4398,376,445
544,7164,386,445
549,2501,446,257
550,2617,447,257
552,9487,448,449
553,10118,449,253
555,5248,451,452
556,7237,452,453
557,7701,453,454
558,2039,454,253
559,4951,455,454
560,6244,456,457
561,6259,457,18
570,7400,357,227
571,11150,227,238
572,8000,228,365
573,8000,363,228
574,13318,328,227
575,13000,328,357
700,10000,700,330
701,10000,701,700
702,10000,702,701
703,10000,703,702
704,27313,704,332
705,9400,705,341
