Group,Description,Sac Flow Range (cfs),SJR Flow Range (cfs),n
lolo,Low SAC Low SJR,6722-14073.9,570-1862.3,59
medmed,Med SAC Med SJR,14073.9-24436.7,1862.3-4322.8,45
hihi,High SAC High SJR,24436.7-77272,4322.8-18424,69
himed,High SAC Med SJR,24436.7-77272,1862.3-4322.8,30
medhi,Med SAC High SJR,14073.9-24436.7,4322.8-18424,27
lomed,Low SAC Med SJR,6722-14073.9,1862.3-4322.8,37
medlo,Med SAC Low SJR,14073.9-24436.7,570-1862.3,40
