"","Date","Month","OMR","Sac.cfs","SJR.cfs","Sub.group"
"1","1933/12/31",12,-6500,15377,1791,"medmed"
"2","1978/12/31",12,-6500,11336,2234,"lomed"
"3","1986/12/31",12,-6500,11039,1812,"lomed"
"4","1999/12/31",12,-6500,11744,1484,"lolo"
"5","1922/1/31",1,-5000,17769,2490,"medmed"
"6","1922/6/30",6,-5000,19451,10123,"medhi"
"7","1922/12/31",12,-5000,33119,5900,"hihi"
"8","1923/1/31",1,-5000,29605,9693,"medhi"
"9","1923/2/28",2,-5000,19424,6830,"medhi"
"10","1923/12/31",12,-5000,9928,1799,"lomed"
"11","1924/1/31",1,-5000,12225,1720,"lomed"
"12","1924/2/29",2,-5000,17847,1894,"medmed"
"13","1925/1/31",1,-5000,12777,1473,"lolo"
"14","1926/1/31",1,-5000,17782,1593,"medlo"
"15","1926/12/31",12,-5000,22834,1794,"medmed"
"16","1927/6/30",6,-5000,12062,2356,"lomed"
"17","1928/1/31",1,-5000,23365,2814,"medmed"
"18","1929/1/31",1,-5000,13247,1588,"medlo"
"19","1929/2/28",2,-5000,19481,1747,"medmed"
"20","1929/12/31",12,-5000,18477,1335,"medlo"
"21","1930/6/30",6,-5000,14997,1127,"medlo"
"22","1931/1/31",1,-5000,13786,1478,"medlo"
"23","1931/12/31",12,-5000,19595,2477,"medmed"
"24","1932/2/29",2,-5000,24114,6210,"medhi"
"25","1932/6/30",6,-5000,16518,2159,"medmed"
"26","1933/1/31",1,-5000,15689,2070,"medmed"
"27","1933/2/28",2,-5000,16319,2020,"medmed"
"28","1935/6/30",6,-5000,14155,2581,"medmed"
"29","1936/6/30",6,-5000,12780,2680,"lomed"
"30","1937/1/31",1,-5000,14169,3508,"medmed"
"31","1937/12/31",12,-5000,59976,7968,"hihi"
"32","1938/1/31",1,-5000,31091,9222,"hihi"
"33","1939/2/28",2,-5000,14365,3091,"medmed"
"34","1940/2/29",2,-5000,59522,5573,"himed"
"35","1940/6/30",6,-5000,13323,2387,"medmed"
"36","1940/12/31",12,-5000,30933,4230,"himed"
"37","1941/12/31",12,-5000,44621,5489,"himed"
"38","1942/1/31",1,-5000,62524,12289,"hihi"
"39","1942/12/31",12,-5000,28252,4469,"medmed"
"40","1943/2/28",2,-5000,50737,11904,"hihi"
"41","1944/1/31",1,-5000,13838,2206,"medmed"
"42","1944/6/30",6,-5000,15457,2139,"medmed"
"43","1944/12/31",12,-5000,17638,2501,"medmed"
"44","1945/1/31",1,-5000,14300,2428,"medmed"
"45","1945/6/30",6,-5000,14369,2409,"medmed"
"46","1945/12/31",12,-5000,55888,6961,"hihi"
"47","1946/1/31",1,-5000,45227,6721,"hihi"
"48","1946/2/28",2,-5000,19498,4684,"medmed"
"49","1946/6/30",6,-5000,13507,2340,"medmed"
"50","1947/1/31",1,-5000,10794,2593,"lomed"
"51","1947/6/30",6,-5000,15605,1299,"medlo"
"52","1948/6/30",6,-5000,13085,2153,"medmed"
"53","1949/1/31",1,-5000,11719,1488,"lolo"
"54","1949/2/28",2,-5000,17567,1805,"medmed"
"55","1949/6/30",6,-5000,14065,1791,"medmed"
"56","1950/6/30",6,-5000,12454,2421,"lomed"
"57","1951/6/30",6,-5000,15642,1891,"medmed"
"58","1951/12/31",12,-5000,40785,2116,"himed"
"59","1952/12/31",12,-5000,36203,2484,"himed"
"60","1953/6/30",6,-5000,13276,1859,"medmed"
"61","1955/1/31",1,-5000,20144,2197,"medmed"
"62","1955/2/28",2,-5000,15501,1747,"medmed"
"63","1956/6/30",6,-5000,12968,6205,"medhi"
"64","1957/1/31",1,-5000,13407,1963,"medmed"
"65","1957/6/30",6,-5000,12519,1885,"lomed"
"66","1957/12/31",12,-5000,25298,1727,"medmed"
"67","1958/6/30",6,-5000,14955,8422,"medhi"
"68","1959/2/28",2,-5000,48150,6281,"hihi"
"69","1960/1/31",1,-5000,12644,1340,"lolo"
"70","1960/6/30",6,-5000,16198,1139,"medlo"
"71","1961/1/31",1,-5000,12590,1284,"lolo"
"72","1962/1/31",1,-5000,11036,1138,"lolo"
"73","1962/2/28",2,-5000,52298,5289,"himed"
"74","1962/6/30",6,-5000,13279,1865,"medmed"
"75","1962/12/31",12,-5000,28887,1494,"medlo"
"76","1963/6/30",6,-5000,15963,2674,"medmed"
"77","1964/2/29",2,-5000,16870,2084,"medmed"
"78","1964/6/30",6,-5000,15187,1182,"medlo"
"79","1964/12/31",12,-5000,45921,2416,"himed"
"80","1966/6/30",6,-5000,13876,1378,"medlo"
"81","1966/12/31",12,-5000,38687,2633,"himed"
"82","1967/1/31",1,-5000,42617,4321,"himed"
"83","1968/6/30",6,-5000,16687,1300,"medlo"
"84","1968/12/31",12,-5000,25103,1779,"medmed"
"85","1969/12/31",12,-5000,43276,4981,"himed"
"86","1970/6/30",6,-5000,14972,1432,"medlo"
"87","1970/12/31",12,-5000,57816,1720,"himed"
"88","1971/6/30",6,-5000,12984,1751,"medmed"
"89","1971/12/31",12,-5000,19596,1929,"medmed"
"90","1972/6/30",6,-5000,14945,1201,"medlo"
"91","1972/12/31",12,-5000,28005,1702,"medmed"
"92","1973/6/30",6,-5000,16564,2148,"medmed"
"93","1973/12/31",12,-5000,63364,3134,"himed"
"94","1974/2/28",2,-5000,42328,6135,"hihi"
"95","1974/6/30",6,-5000,13747,2797,"medmed"
"96","1975/1/31",1,-5000,13731,2774,"medmed"
"97","1975/2/28",2,-5000,52223,9002,"hihi"
"98","1975/6/30",6,-5000,14123,4424,"medmed"
"99","1976/2/29",2,-5000,13283,2391,"medmed"
"100","1976/3/31",3,-5000,14342,1675,"medlo"
"101","1977/2/28",2,-5000,12220,1245,"lolo"
"102","1977/12/31",12,-5000,16697,1247,"medlo"
"103","1978/2/28",2,-5000,51991,9329,"hihi"
"104","1979/6/30",6,-5000,16381,2018,"medmed"
"105","1981/6/30",6,-5000,15957,1471,"medlo"
"106","1984/6/30",6,-5000,16644,2394,"medmed"
"107","1985/1/31",1,-5000,12584,2220,"lomed"
"108","1985/2/28",2,-5000,18717,2856,"medmed"
"109","1985/6/30",6,-5000,15814,1338,"medlo"
"110","1987/1/31",1,-5000,14124,1659,"medlo"
"111","1987/12/31",12,-5000,18472,1400,"medlo"
"112","1988/2/29",2,-5000,21747,1356,"medlo"
"113","1989/1/31",1,-5000,14705,1211,"medlo"
"114","1990/1/31",1,-5000,18647,1195,"medlo"
"115","1990/2/28",2,-5000,16891,1516,"medlo"
"116","1993/6/30",6,-5000,14838,4967,"medmed"
"117","1994/1/31",1,-5000,13104,1335,"medlo"
"118","1994/2/28",2,-5000,24966,2320,"medmed"
"119","1995/12/31",12,-5000,25481,2297,"medmed"
"120","1996/1/31",1,-5000,50605,4969,"himed"
"121","1996/6/30",6,-5000,11813,3098,"lomed"
"122","1997/6/30",6,-5000,17373,3504,"medmed"
"123","1998/12/31",12,-5000,39412,4414,"himed"
"124","1999/6/30",6,-5000,14215,2069,"medmed"
"125","2000/12/31",12,-5000,9831,1888,"lomed"
"126","2001/1/31",1,-5000,16153,2018,"medmed"
"127","2001/12/31",12,-5000,35658,1790,"himed"
"128","2002/6/30",6,-5000,14825,1109,"medlo"
"129","2003/6/30",6,-5000,12792,1206,"lolo"
"130","1922/3/31",3,-3500,35195,11187,"hihi"
"131","1922/5/31",5,-3500,41639,9471,"hihi"
"132","1923/3/31",3,-3500,13512,4496,"medmed"
"133","1923/6/30",6,-3500,10468,2966,"lomed"
"134","1925/3/31",3,-3500,17524,2408,"medmed"
"135","1926/3/31",3,-3500,16301,1766,"medmed"
"136","1927/3/31",3,-3500,44264,3579,"himed"
"137","1929/3/31",3,-3500,14428,1686,"medlo"
"138","1930/3/31",3,-3500,30238,1906,"medmed"
"139","1934/1/31",1,-3500,20435,1757,"medmed"
"140","1934/12/31",12,-3500,10325,1625,"lolo"
"141","1935/1/31",1,-3500,29360,2319,"medmed"
"142","1935/3/31",3,-3500,27966,2937,"medmed"
"143","1936/1/31",1,-3500,39431,2919,"himed"
"144","1936/3/31",3,-3500,30089,7531,"medhi"
"145","1937/3/31",3,-3500,37002,12226,"hihi"
"146","1939/1/31",1,-3500,10826,2493,"lomed"
"147","1939/3/31",3,-3500,11548,3619,"lomed"
"148","1940/1/31",1,-3500,30855,3072,"himed"
"149","1940/4/30",4,-3500,56319,11935,"hihi"
"150","1942/3/31",3,-3500,23904,8042,"medhi"
"151","1944/3/31",3,-3500,21265,3639,"medmed"
"152","1945/3/31",3,-3500,21501,8518,"medhi"
"153","1946/3/31",3,-3500,20724,5440,"medmed"
"154","1947/3/31",3,-3500,20614,1581,"medlo"
"155","1948/1/31",1,-3500,14434,1426,"medlo"
"156","1948/3/31",3,-3500,16751,1596,"medlo"
"157","1949/3/31",3,-3500,47815,2469,"himed"
"158","1950/1/31",1,-3500,24426,1843,"medmed"
"159","1950/3/31",3,-3500,20206,2108,"medmed"
"160","1951/3/31",3,-3500,32057,7615,"hihi"
"161","1953/3/31",3,-3500,23527,3835,"medmed"
"162","1954/3/31",3,-3500,46438,2529,"himed"
"163","1954/6/30",6,-3500,11363,1891,"lomed"
"164","1955/3/31",3,-3500,13876,1847,"medmed"
"165","1957/3/31",3,-3500,43037,4337,"himed"
"166","1959/1/31",1,-3500,30222,2769,"medmed"
"167","1959/3/31",3,-3500,16434,3686,"medmed"
"168","1959/6/30",6,-3500,13440,1217,"medlo"
"169","1960/3/31",3,-3500,21323,1553,"medlo"
"170","1961/3/31",3,-3500,20127,1412,"medlo"
"171","1962/3/31",3,-3500,23553,3660,"medmed"
"172","1963/3/31",3,-3500,29263,2462,"medmed"
"173","1964/1/31",1,-3500,24723,2416,"medmed"
"174","1964/3/31",3,-3500,12042,1606,"lolo"
"175","1965/3/31",3,-3500,19219,4963,"medmed"
"176","1966/1/31",1,-3500,34206,4695,"himed"
"177","1966/3/31",3,-3500,25138,4227,"medmed"
"178","1967/3/31",3,-3500,53166,11875,"hihi"
